ICD9,HCC,HCC.PACE.ESRD,Description
0545 ,2,2,Herpetic septicemia 
05474,,72,Herpes simplex myelitis 
05671,37,39,Arthritis due to rubella
07022,27,29,Hpt B chrn coma wo dlta 
07023,27,29,Hpt B chrn coma w dlta 
07032,27,29,Hpt B chrn wo cm wo dlta
07033,27,29,Hpt B chrn wo cm w dlta 
07044,27,29,Chrnc hpt C w hepat Coma
07054,27,29,Chrnc hpt C wo hpat coma
0723 ,32,,Mumps pancreatitis 
0785 ,5,6,Cytomegaloviral disease 
0786 ,132,141,Hem nephrosonephritis 
07953,1,1,Hiv-2 infection oth dis 
09487,95,99,Syph rupt cereb aneurysm
09850,37,39,Gonococcal arthritis 
09851,37,39,Gonococcal synovitis 
09852,37,39,Gonococcal bursitis 
09853,37,39,Gonococcal spondylitis 
09859,37,39,Gc infect joint NEC 
09886,31,33,Gonococcal peritonitis 
0993 ,,40,Reiter's disease 
1026 ,37,39,Yaws of bone & joint 
1124 ,5,6,Candidiasis of lung 
1125 ,5,6,Disseminated candidiasis
11284,5,6,Candidal esophagitis 
1140 ,112,115,Primary coccidioidomycos
1144 ,112,115,Ch pl coccidioidomycosis
1145 ,112,115,Pl cocidioidomycosis NOS
11505,112,115,Histoplasm caps pneumon 
11515,112,115,Histoplasm dub pneumonia
11595,112,115,Histoplasmosis pneumonia
1173 ,5,6,Aspergillosis 
1175 ,5,6,Cryptococcosis 
1177 ,5,6,Zygomycosis 
118 ,,6,Opportunistic mycoses 
1212 ,112,115,Paragonimiasis 
1221 ,112,115,Echinococc granul lung 
1300 ,5,6,Toxoplasm meningoenceph 
1304 ,112,6,Toxoplasma pneumonitis 
1308 ,5,6,Multisystem toxoplasmos 
135 ,,112,Sarcoidosis 
1361 ,38,40,Behcet's syndrome 
1363 ,5,6,Pneumocystosis 
1410 ,9,11,Mal neo tongue base 
1411 ,9,11,Mal neo dorsal tongue 
1412 ,9,11,Mal neo tip/lat tongue 
1413 ,9,11,Mal neo ventral tongue 
1414 ,9,11,Mal neo ant 2/3 tongue 
1415 ,9,11,Mal neo tongue junction 
1416 ,9,11,Mal neo lingual tonsil 
1418 ,9,11,Malig neo tongue NEC 
1419 ,9,11,Malig neo tongue NOS 
1420 ,9,11,Malig neo parotid 
1421 ,9,11,Malig neo submandibular 
1422 ,9,11,Malig neo sublingual 
1428 ,9,11,Mal neo maj salivary NEC
1429 ,9,11,Mal neo salivary NOS 
1430 ,9,11,Malig neo upper gum 
1431 ,9,11,Malig neo lower gum 
1438 ,9,11,Malig neo gum NEC 
1439 ,9,11,Malig neo gum NOS 
1440 ,9,11,Mal neo ant floor mouth 
1441 ,9,11,Mal neo lat floor mouth 
1448 ,9,11,Mal neo mouth floor NEC 
1449 ,9,11,Mal neo mouth floor NOS 
1450 ,9,11,Mal neo cheek mucosa 
1451 ,9,11,Mal neo mouth vestibule 
1452 ,9,11,Malig neo hard palate 
1453 ,9,11,Malig neo soft palate 
1454 ,9,11,Malignant neoplasm uvula
1455 ,9,11,Malignant neo palate NOS
1456 ,9,11,Malig neo retromolar 
1458 ,9,11,Malig neoplasm mouth NEC
1459 ,9,11,Malig neoplasm mouth NOS
1460 ,9,11,Malignant neopl tonsil 
1461 ,9,11,Mal neo tonsillar fossa 
1462 ,9,11,Mal neo tonsil pillars 
1463 ,9,11,Malign neopl vallecula 
1464 ,9,11,Mal neo ant epiglottis 
1465 ,9,11,Mal neo epiglottis junct
1466 ,9,11,Mal neo lat oropharynx 
1467 ,9,11,Mal neo post oropharynx 
1468 ,9,11,Mal neo oropharynx NEC 
1469 ,9,11,Malig neo oropharynx NOS
1470 ,9,11,Mal neo super nasopharyn
1471 ,9,11,Mal neo post nasopharynx
1472 ,9,11,Mal neo lat nasopharynx 
1473 ,9,11,Mal neo ant nasopharynx 
1478 ,9,11,Mal neo nasopharynx NEC 
1479 ,9,11,Mal neo nasopharynx NOS 
1480 ,9,11,Mal neo postcricoid 
1481 ,9,11,Mal neo pyriform sinus 
1482 ,9,11,Mal neo aryepiglott fold
1483 ,9,11,Mal neo post hypopharynx
1488 ,9,11,Mal neo hypopharynx NEC 
1489 ,9,11,Mal neo hypopharynx NOS 
1490 ,9,11,Mal neo pharynx NOS 
1491 ,9,11,Mal neo waldeyer's ring 
1498 ,9,11,Mal neo oral/pharynx NEC
1499 ,9,11,Mal neo orophryn ill-def
1500 ,8,9,Mal neo cervical esophag
1501 ,8,9,Mal neo thoracic esophag
1502 ,8,9,Mal neo abdomin esophag 
1503 ,8,9,Mal neo upper 3rd esoph 
1504 ,8,9,Mal neo middle 3rd esoph
1505 ,8,9,Mal neo lower 3rd esoph 
1508 ,8,9,Mal neo esophagus NEC 
1509 ,8,9,Mal neo esophagus NOS 
1510 ,8,9,Mal neo stomach cardia 
1511 ,8,9,Malignant neo pylorus 
1512 ,8,9,Mal neo pyloric antrum 
1513 ,8,9,Mal neo stomach fundus 
1514 ,8,9,Mal neo stomach body 
1515 ,8,9,Mal neo stom lesser curv
1516 ,8,9,Mal neo stom great curv 
1518 ,8,9,Malig neopl stomach NEC 
1519 ,8,9,Malig neopl stomach NOS 
1520 ,8,9,Malignant neopl duodenum
1521 ,8,9,Malignant neopl jejunum 
1522 ,8,9,Malignant neoplasm ileum
1523 ,8,9,Mal neo meckel's divert 
1528 ,8,9,Mal neo small bowel NEC 
1529 ,8,9,Mal neo small bowel NOS 
1530 ,10,11,Mal neo hepatic flexure 
1531 ,10,11,Mal neo transverse colon
1532 ,10,11,Mal neo descend colon 
1533 ,10,11,Mal neo sigmoid colon 
1534 ,10,11,Malignant neoplasm cecum
1535 ,10,11,Malignant neo appendix 
1536 ,10,11,Malig neo ascend colon 
1537 ,10,11,Mal neo splenic flexure 
1538 ,10,11,Malignant neo colon NEC 
1539 ,10,11,Malignant neo colon NOS 
1540 ,10,11,Mal neo rectosigmoid jct
1541 ,10,11,Malignant neopl rectum 
1542 ,10,11,Malig neopl anal canal 
1543 ,10,11,Malignant neo anus NOS 
1548 ,10,11,Mal neo rectum/anus NEC 
1550 ,8,9,"Mal neo liver, primary "
1551 ,8,9,Mal neo intrahepat ducts
1552 ,8,9,Malignant neo liver NOS 
1560 ,8,9,Malig neo gallbladder 
1561 ,8,9,Mal neo extrahepat ducts
1562 ,8,9,Mal neo ampulla of vater
1568 ,8,9,Malig neo biliary NEC 
1569 ,8,9,Malig neo biliary NOS 
1570 ,8,9,Mal neo pancreas head 
1571 ,8,9,Mal neo pancreas body 
1572 ,8,9,Mal neo pancreas tail 
1573 ,8,9,Mal neo pancreatic duct 
1574 ,8,9,Mal neo islet langerhans
1578 ,8,9,Malig neo pancreas NEC 
1579 ,8,9,Malig neo pancreas NOS 
1580 ,8,9,Mal neo retroperitoneum 
1588 ,8,9,Mal neo peritoneum NEC 
1589 ,8,9,Mal neo peritoneum NOS 
1590 ,10,11,Malig neo intestine NOS 
1591 ,10,11,Malignant neo spleen NEC
1598 ,10,11,Mal neo gi/intra-abd NEC
1599 ,10,11,Mal neo GI tract ill-def
1600 ,9,11,Mal neo nasal cavities 
1601 ,9,11,Malig neo middle ear 
1602 ,9,11,Mal neo maxillary sinus 
1603 ,9,11,Mal neo ethmoidal sinus 
1604 ,9,11,Malig neo frontal sinus 
1605 ,9,11,Mal neo sphenoid sinus 
1608 ,9,11,Mal neo access sinus NEC
1609 ,9,11,Mal neo access sinus NOS
1610 ,9,11,Malignant neo glottis 
1611 ,9,11,Malig neo supraglottis 
1612 ,9,11,Malig neo subglottis 
1613 ,9,11,Mal neo cartilage larynx
1618 ,9,11,Malignant neo larynx NEC
1619 ,9,11,Malignant neo larynx NOS
1620 ,8,9,Malignant neo trachea 
1622 ,8,9,Malig neo main bronchus 
1623 ,8,9,Mal neo upper lobe lung 
1624 ,8,9,Mal neo middle lobe lung
1625 ,8,9,Mal neo lower lobe lung 
1628 ,8,9,Mal neo bronch/lung NEC 
1629 ,8,9,Mal neo bronch/lung NOS 
1630 ,8,9,Mal neo parietal pleura 
1631 ,8,9,Mal neo visceral pleura 
1638 ,8,9,Malig neopl pleura NEC 
1639 ,8,9,Malig neopl pleura NOS 
1640 ,9,11,Malignant neopl thymus 
1641 ,9,11,Malignant neopl heart 
1642 ,9,11,Mal neo ant mediastinum 
1643 ,9,11,Mal neo post mediastinum
1648 ,9,11,Mal neo mediastinum NEC 
1649 ,9,11,Mal neo mediastinum NOS 
1650 ,9,11,Mal neo upper resp NOS 
1658 ,9,11,Mal neo thorax/resp NEC 
1659 ,9,11,Mal neo resp system NOS 
1700 ,9,10,Mal neo skull/face bone 
1701 ,9,10,Malignant neo mandible 
1702 ,9,10,Malig neo vertebrae 
1703 ,9,10,Mal neo ribs/stern/clav 
1704 ,9,10,Mal neo long bones arm 
1705 ,9,10,Mal neo bones wrist/hand
1706 ,9,10,Mal neo pelvic girdle 
1707 ,9,10,Mal neo long bones leg 
1708 ,9,10,Mal neo bones ankle/foot
1709 ,9,10,Malig neopl bone NOS 
1710 ,9,10,Mal neo soft tissue head
1712 ,9,10,Mal neo soft tissue arm 
1713 ,9,10,Mal neo soft tissue leg 
1714 ,9,10,Mal neo soft tis thorax 
1715 ,9,10,Mal neo soft tis abdomen
1716 ,9,10,Mal neo soft tis pelvis 
1717 ,9,10,Mal neopl trunk NOS 
1718 ,9,10,Mal neo soft tissue NEC 
1719 ,9,10,Mal neo soft tissue NOS 
1720 ,10,12,Malig melanoma lip 
1721 ,10,12,Malig melanoma eyelid 
1722 ,10,12,Malig melanoma ear 
1723 ,10,12,Mal melanom face NEC/NOS
1724 ,10,12,Mal melanoma scalp/neck 
1725 ,10,12,Malig melanoma trunk 
1726 ,10,12,Malig melanoma arm 
1727 ,10,12,Malig melanoma leg 
1728 ,10,12,Malig melanoma skin NEC 
1729 ,10,12,Malig melanoma skin NOS 
1740 ,10,12,Malig neo nipple 
1741 ,10,12,Mal neo breast-central 
1742 ,10,12,Mal neo breast up-inner 
1743 ,10,12,Mal neo breast low-inner
1744 ,10,12,Mal neo breast up-outer 
1745 ,10,12,Mal neo breast low-outer
1746 ,10,12,Mal neo breast-axillary 
1748 ,10,12,Malign neopl breast NEC 
1749 ,10,12,Malign neopl breast NOS 
1750 ,10,12,Mal neo male nipple 
1759 ,10,12,Mal neo male breast NEC 
1760 ,9,10,Skin - kaposi's sarcoma 
1761 ,9,10,Sft tisue - kpsi's srcma
1762 ,9,10,Palate - kpsi's sarcoma 
1763 ,9,10,GI sites - kpsi's srcoma
1764 ,9,10,Lung - kaposi's sarcoma 
1765 ,9,10,Lym nds - kpsi's sarcoma
1768 ,9,10,Spf sts - kpsi's sarcoma
1769 ,9,10,Kaposi's sarcoma NOS 
179 ,10,12,Malig neopl uterus NOS 
1800 ,10,11,Malig neo endocervix 
1801 ,10,11,Malig neo exocervix 
1808 ,10,11,Malig neo cervix NEC 
1809 ,10,11,Mal neo cervix uteri NOS
181 ,9,10,Malignant neopl placenta
1820 ,10,12,Malig neo corpus uteri 
1821 ,10,12,Mal neo uterine isthmus 
1828 ,10,12,Mal neo body uterus NEC 
1830 ,9,10,Malign neopl ovary 
1832 ,9,10,Mal neo fallopian tube 
1833 ,9,10,Mal neo broad ligament 
1834 ,9,10,Malig neo parametrium 
1835 ,9,10,Mal neo round ligament 
1838 ,9,10,Mal neo adnexa NEC 
1839 ,9,10,Mal neo adnexa NOS 
1840 ,10,11,Malign neopl vagina 
1841 ,10,11,Mal neo labia majora 
1842 ,10,11,Mal neo labia minora 
1843 ,10,11,Malign neopl clitoris 
1844 ,10,11,Malign neopl vulva NOS 
1848 ,10,11,Mal neo female genit NEC
1849 ,10,11,Mal neo female genit NOS
185 ,10,12,Malign neopl prostate 
1860 ,10,12,Mal neo undescend testis
1869 ,10,12,Malig neo testis NEC 
1871 ,10,12,Malign neopl prepuce 
1872 ,10,12,Malig neo glans penis 
1873 ,10,12,Malig neo penis body 
1874 ,10,12,Malig neo penis NOS 
1875 ,10,12,Malig neo epididymis 
1876 ,10,12,Mal neo spermatic cord 
1877 ,10,12,Malign neopl scrotum 
1878 ,10,12,Mal neo male genital NEC
1879 ,10,12,Mal neo male genital NOS
1880 ,10,11,Mal neo bladder-trigone 
1881 ,10,11,Mal neo bladder-dome 
1882 ,10,11,Mal neo bladder-lateral 
1883 ,10,11,Mal neo bladder-anterior
1884 ,10,11,Mal neo bladder-post 
1885 ,10,11,Mal neo bladder neck 
1886 ,10,11,Mal neo ureteric orifice
1887 ,10,11,Malig neo urachus 
1888 ,10,11,Malig neo bladder NEC 
1889 ,10,11,Malig neo bladder NOS 
1890 ,10,11,Malig neopl kidney 
1891 ,10,11,Malig neo renal pelvis 
1892 ,10,11,Malign neopl ureter 
1893 ,10,11,Malign neopl urethra 
1894 ,10,11,Mal neo paraurethral 
1898 ,10,11,Mal neo urinary NEC 
1899 ,10,11,Mal neo urinary NOS 
1900 ,10,12,Malign neopl eyeball 
1901 ,10,12,Malign neopl orbit 
1902 ,10,12,Mal neo lacrimal gland 
1903 ,10,12,Mal neo conjunctiva 
1904 ,10,12,Malign neopl cornea 
1905 ,10,12,Malign neopl retina 
1906 ,10,12,Malign neopl choroid 
1907 ,10,12,Mal neo lacrimal duct 
1908 ,10,12,Malign neopl eye NEC 
1909 ,10,12,Malign neopl eye NOS 
1910 ,9,10,Malign neopl cerebrum 
1911 ,9,10,Malig neo frontal lobe 
1912 ,9,10,Mal neo temporal lobe 
1913 ,9,10,Mal neo parietal lobe 
1914 ,9,10,Mal neo occipital lobe 
1915 ,9,10,Mal neo cereb ventricle 
1916 ,9,10,Mal neo cerebellum NOS 
1917 ,9,10,Mal neo brain stem 
1918 ,9,10,Malig neo brain NEC 
1919 ,9,10,Malig neo brain NOS 
1920 ,9,10,Mal neo cranial nerves 
1921 ,9,10,Mal neo cerebral mening 
1922 ,9,10,Mal neo spinal cord 
1923 ,9,10,Mal neo spinal meninges 
1928 ,9,10,Mal neo nervous syst NEC
1929 ,9,10,Mal neo nervous syst NOS
193 ,10,12,Malign neopl thyroid 
1940 ,9,10,Malign neopl adrenal 
1941 ,10,12,Malig neo parathyroid 
1943 ,9,10,Malig neo pituitary 
1944 ,9,10,Malign neo pineal gland 
1945 ,10,12,Mal neo carotid body 
1946 ,10,12,Mal neo paraganglia NEC 
1948 ,10,12,Mal neo endocrine NEC 
1949 ,10,12,Mal neo endocrine NOS 
1950 ,10,12,Mal neo head/face/neck 
1951 ,10,12,Malign neopl thorax 
1952 ,10,12,Malig neo abdomen 
1953 ,10,12,Malign neopl pelvis 
1954 ,10,12,Malign neopl arm 
1955 ,10,12,Malign neopl leg 
1958 ,10,12,Malig neo site NEC 
1960 ,7,8,Mal neo lymph-head/neck 
1961 ,7,8,Mal neo lymph-intrathor 
1962 ,7,8,Mal neo lymph intra-abd 
1963 ,7,10,Mal neo lymph-axilla/arm
1965 ,7,8,Mal neo lymph-inguin/leg
1966 ,7,8,Mal neo lymph-intrapelv 
1968 ,7,8,Mal neo lymph node-mult 
1969 ,7,10,Mal neo lymph node NOS 
1970 ,7,8,Secondary malig neo lung
1971 ,7,8,Sec mal neo mediastinum 
1972 ,7,8,Second malig neo pleura 
1973 ,7,8,Sec malig neo resp NEC 
1974 ,7,8,Sec malig neo sm bowel 
1975 ,7,8,Sec malig neo lg bowel 
1976 ,7,8,Sec mal neo peritoneum 
1977 ,7,8,Second malig neo liver 
1978 ,7,8,Sec mal neo GI NEC 
1980 ,7,8,Second malig neo kidney 
1981 ,7,8,Sec malig neo urin NEC 
1982 ,7,10,Secondary malig neo skin
1983 ,7,8,Sec mal neo brain/spine 
1984 ,7,8,Sec malig neo nerve NEC 
1985 ,7,8,Secondary malig neo bone
1986 ,7,8,Second malig neo ovary 
1987 ,7,8,Second malig neo adrenal
19881,7,10,Second malig neo breast 
19882,7,10,Second malig neo genital
19889,7,8,Secondary malig neo NEC 
1990 ,7,8,Malig neo disseminated 
1991 ,10,12,Malignant neoplasm NOS 
1992 ,10,12,Malig neopl-transp organ
20000,9,10,Retclsrc unsp xtrndl org
20001,9,10,Reticulosarcoma head 
20002,9,10,Reticulosarcoma thorax 
20003,9,10,Reticulosarcoma abdom 
20004,9,10,Reticulosarcoma axilla 
20005,9,10,Reticulosarcoma inguin 
20006,9,10,Reticulosarcoma pelvic 
20007,9,10,Reticulosarcoma spleen 
20008,9,10,Reticulosarcoma mult 
20010,9,10,Lymphsrc unsp xtrndl org
20011,9,10,Lymphosarcoma head 
20012,9,10,Lymphosarcoma thorax 
20013,9,10,Lymphosarcoma abdom 
20014,9,10,Lymphosarcoma axilla 
20015,9,10,Lymphosarcoma inguin 
20016,9,10,Lymphosarcoma pelvic 
20017,9,10,Lymphosarcoma spleen 
20018,9,10,Lymphosarcoma mult 
20020,9,10,Brkt tmr unsp xtrndl org
20021,9,10,Burkitt's tumor head 
20022,9,10,Burkitt's tumor thorax 
20023,9,10,Burkitt's tumor abdom 
20024,9,10,Burkitt's tumor axilla 
20025,9,10,Burkitt's tumor inguin 
20026,9,10,Burkitt's tumor pelvic 
20027,9,10,Burkitt's tumor spleen 
20028,9,10,Burkitt's tumor mult 
20030,9,10,Margnl zone lym xtrndl 
20031,9,10,Margin zone lym head 
20032,9,10,Margin zone lym thorax 
20033,9,10,Margin zone lym abdom 
20034,9,10,Margin zone lym axilla 
20035,9,10,Margin zone lym inguin 
20036,9,10,Margin zone lym pelvic 
20037,9,10,Margin zone lymph spleen
20038,9,10,Margin zone lymph multip
20040,9,10,Mantle cell lym xtrrndl 
20041,9,10,Mantle cell lymph head 
20042,9,10,Mantle cell lymph thorax
20043,9,10,Mantle cell lymph abdom 
20044,9,10,Mantle cell lymph axilla
20045,9,10,Mantle cell lymph inguin
20046,9,10,Mantle cell lymph pelvic
20047,9,10,Mantle cell lymph spleen
20048,9,10,Mantle cell lymph multip
20050,9,10,Primary CNS lymph xtrndl
20051,9,10,Primary CNS lymph head 
20052,9,10,Primary CNS lymph thorax
20053,9,10,Primary CNS lymph abdom 
20054,9,10,Primary CNS lymph axilla
20055,9,10,Primary CNS lym inguin 
20056,9,10,Primary CNS lymph pelvic
20057,9,10,Primary CNS lymph spleen
20058,9,10,Primary CNS lymph multip
20060,9,10,Anaplastic lymph xtrndl 
20061,9,10,Anaplastic lymph head 
20062,9,10,Anaplastic lymph thorax 
20063,9,10,Anaplastic lymph abdom 
20064,9,10,Anaplastic lymph axilla 
20065,9,10,Anaplastic lymph inguin 
20066,9,10,Anaplastic lymph pelvic 
20067,9,10,Anaplastic lymph spleen 
20068,9,10,Anaplastic lymph multip 
20070,9,10,Large cell lymph xtrndl 
20071,9,10,Large cell lymphoma head
20072,9,10,Large cell lymph thorax 
20073,9,10,Large cell lymph abdom 
20074,9,10,Large cell lymph axilla 
20075,9,10,Large cell lymph inguin 
20076,9,10,Large cell lymph pelvic 
20077,9,10,Large cell lymph spleen 
20078,9,10,Large cell lymph multip 
20080,9,10,Oth varn unsp xtrndl org
20081,9,10,Mixed lymphosarc head 
20082,9,10,Mixed lymphosarc thorax 
20083,9,10,Mixed lymphosarc abdom 
20084,9,10,Mixed lymphosarc axilla 
20085,9,10,Mixed lymphosarc inguin 
20086,9,10,Mixed lymphosarc pelvic 
20087,9,10,Mixed lymphosarc spleen 
20088,9,10,Mixed lymphosarc mult 
20100,9,10,Hdgk prg unsp xtrndl org
20101,9,10,Hodgkins paragran head 
20102,9,10,Hodgkins paragran thorax
20103,9,10,Hodgkins paragran abdom 
20104,9,10,Hodgkins paragran axilla
20105,9,10,Hodgkins paragran inguin
20106,9,10,Hodgkins paragran pelvic
20107,9,10,Hodgkins paragran spleen
20108,9,10,Hodgkins paragran mult 
20110,9,10,Hdgk grn unsp xtrndl org
20111,9,10,Hodgkins granulom head 
20112,9,10,Hodgkins granulom thorax
20113,9,10,Hodgkins granulom abdom 
20114,9,10,Hodgkins granulom axilla
20115,9,10,Hodgkins granulom inguin
20116,9,10,Hodgkins granulom pelvic
20117,9,10,Hodgkins granulom spleen
20118,9,10,Hodgkins granulom mult 
20120,9,10,Hdgk src unsp xtrndl org
20121,9,10,Hodgkins sarcoma head 
20122,9,10,Hodgkins sarcoma thorax 
20123,9,10,Hodgkins sarcoma abdom 
20124,9,10,Hodgkins sarcoma axilla 
20125,9,10,Hodgkins sarcoma inguin 
20126,9,10,Hodgkins sarcoma pelvic 
20127,9,10,Hodgkins sarcoma spleen 
20128,9,10,Hodgkins sarcoma mult 
20140,9,10,Lym-hst unsp xtrndl orgn
20141,9,10,Hodg lymph-histio head 
20142,9,10,Hodg lymph-histio thorax
20143,9,10,Hodg lymph-histio abdom 
20144,9,10,Hodg lymph-histio axilla
20145,9,10,Hodg lymph-histio inguin
20146,9,10,Hodg lymph-histio pelvic
20147,9,10,Hodg lymph-histio spleen
20148,9,10,Hodg lymph-histio mult 
20150,9,10,Ndr sclr unsp xtrndl org
20151,9,10,Hodg nodul sclero head 
20152,9,10,Hodg nodul sclero thorax
20153,9,10,Hodg nodul sclero abdom 
20154,9,10,Hodg nodul sclero axilla
20155,9,10,Hodg nodul sclero inguin
20156,9,10,Hodg nodul sclero pelvic
20157,9,10,Hodg nodul sclero spleen
20158,9,10,Hodg nodul sclero mult 
20160,9,10,Mxd celr unsp xtrndl org
20161,9,10,Hodgkins mix cell head 
20162,9,10,Hodgkins mix cell thorax
20163,9,10,Hodgkins mix cell abdom 
20164,9,10,Hodgkins mix cell axilla
20165,9,10,Hodgkins mix cell inguin
20166,9,10,Hodgkins mix cell pelvic
20167,9,10,Hodgkins mix cell spleen
20168,9,10,Hodgkins mix cell mult 
20170,9,10,Lym dplt unsp xtrndl org
20171,9,10,Hodg lymph deplet head 
20172,9,10,Hodg lymph deplet thorax
20173,9,10,Hodg lymph deplet abdom 
20174,9,10,Hodg lymph deplet axilla
20175,9,10,Hodg lymph deplet inguin
20176,9,10,Hodg lymph deplet pelvic
20177,9,10,Hodg lymph deplet spleen
20178,9,10,Hodg lymph deplet mult 
20190,9,10,Hdgk dis unsp xtrndl org
20191,9,10,Hodgkins dis NOS head 
20192,9,10,Hodgkins dis NOS thorax 
20193,9,10,Hodgkins dis NOS abdom 
20194,9,10,Hodgkins dis NOS axilla 
20195,9,10,Hodgkins dis NOS inguin 
20196,9,10,Hodgkins dis NOS pelvic 
20197,9,10,Hodgkins dis NOS spleen 
20198,9,10,Hodgkins dis NOS mult 
20200,9,10,Ndlr lym unsp xtrndl org
20201,9,10,Nodular lymphoma head 
20202,9,10,Nodular lymphoma thorax 
20203,9,10,Nodular lymphoma abdom 
20204,9,10,Nodular lymphoma axilla 
20205,9,10,Nodular lymphoma inguin 
20206,9,10,Nodular lymphoma pelvic 
20207,9,10,Nodular lymphoma spleen 
20208,9,10,Nodular lymphoma mult 
20210,9,10,Mycs fng unsp xtrndl org
20211,9,10,Mycosis fungoides head 
20212,9,10,Mycosis fungoides thorax
20213,9,10,Mycosis fungoides abdom 
20214,9,10,Mycosis fungoides axilla
20215,9,10,Mycosis fungoides inguin
20216,9,10,Mycosis fungoides pelvic
20217,9,10,Mycosis fungoides spleen
20218,9,10,Mycosis fungoides mult 
20220,9,10,Szry dis unsp xtrndl org
20221,9,10,Sezary's disease head 
20222,9,10,Sezary's disease thorax 
20223,9,10,Sezary's disease abdom 
20224,9,10,Sezary's disease axilla 
20225,9,10,Sezary's disease inguin 
20226,9,10,Sezary's disease pelvic 
20227,9,10,Sezary's disease spleen 
20228,9,10,Sezary's disease mult 
20230,9,10,Mlg hist unsp xtrndl org
20231,9,10,Mal histiocytosis head 
20232,9,10,Mal histiocytosis thorax
20233,9,10,Mal histiocytosis abdom 
20234,9,10,Mal histiocytosis axilla
20235,9,10,Mal histiocytosis inguin
20236,9,10,Mal histiocytosis pelvic
20237,9,10,Mal histiocytosis spleen
20238,9,10,Mal histiocytosis mult 
20240,9,10,Lk rtctl unsp xtrndl org
20241,9,10,Hairy-cell leukem head 
20242,9,10,Hairy-cell leukem thorax
20243,9,10,Hairy-cell leukem abdom 
20244,9,10,Hairy-cell leukem axilla
20245,9,10,Hairy-cell leukem inguin
20246,9,10,Hairy-cell leukem pelvic
20247,9,10,Hairy-cell leukem spleen
20248,9,10,Hairy-cell leukem mult 
20250,9,10,Ltr-siwe unsp xtrndl org
20251,9,10,Letterer-siwe dis head 
20252,9,10,Letterer-siwe dis thorax
20253,9,10,Letterer-siwe dis abdom 
20254,9,10,Letterer-siwe dis axilla
20255,9,10,Letterer-siwe dis inguin
20256,9,10,Letterer-siwe dis pelvic
20257,9,10,Letterer-siwe dis spleen
20258,9,10,Letterer-siwe dis mult 
20260,9,10,Mlg mast unsp xtrndl org
20261,9,10,Mal mastocytosis head 
20262,9,10,Mal mastocytosis thorax 
20263,9,10,Mal mastocytosis abdom 
20264,9,10,Mal mastocytosis axilla 
20265,9,10,Mal mastocytosis inguin 
20266,9,10,Mal mastocytosis pelvic 
20267,9,10,Mal mastocytosis spleen 
20268,9,10,Mal mastocytosis mult 
20270,9,10,Periph T cell lym xtrndl
20271,9,10,Periph T cell lymph head
20272,9,10,Periph T cell lym thorax
20273,9,10,Periph T cell lym abdom 
20274,9,10,Periph T cell lym axilla
20275,9,10,Periph T cell lym inguin
20276,9,10,Periph T cell lym pelvic
20277,9,10,Periph T cell lym spleen
20278,9,10,Periph T cell lym multip
20280,9,10,Oth lymp unsp xtrndl org
20281,9,10,Lymphomas NEC head 
20282,9,10,Lymphomas NEC thorax 
20283,9,10,Lymphomas NEC abdom 
20284,9,10,Lymphomas NEC axilla 
